iter	Passed	Remaining
635	1345	770
636	1348	768
637	1350	766
638	1353	764
639	1355	762
640	1358	760
641	1360	758
642	1362	756
643	1363	753
644	1365	751
645	1368	750
646	1371	748
647	1372	745
648	1374	743
649	1376	741
650	1378	738
651	1380	736
652	1383	734
653	1385	733
654	1388	731
655	1390	729
656	1392	727
657	1394	725
658	1396	722
659	1398	720
660	1399	717
661	1401	715
662	1403	713
663	1404	710
664	1407	709
665	1410	707
666	1412	705
667	1414	702
668	1415	700
669	1417	698
670	1419	695
671	1420	693
672	1423	691
673	1426	690
674	1429	688
675	1431	686
676	1433	683
677	1435	681
678	1437	679
679	1439	677
680	1440	674
681	1443	672
682	1446	671
683	1448	669
684	1450	667
685	1451	664
686	1454	662
687	1455	660
688	1457	657
689	1459	655
690	1461	653
691	1465	652
692	1468	650
693	1470	648
694	1472	646
695	1473	643
696	1475	641
697	1477	639
698	1479	637
699	1483	635
700	1486	633
701	1488	631
702	1491	630
703	1493	628
704	1495	625
705	1497	623
706	1499	621
707	1502	619
708	1505	617
709	1507	615
710	1509	613
711	1512	611
712	1513	609
713	1515	607
714	1517	605
715	1522	603
716	1524	601
717	1526	599
718	1528	597
719	1530	595
720	1532	593
721	1534	590
722	1535	588
723	1538	586
724	1541	584
725	1544	582
726	1546	580
727	1548	578
728	1551	576
729	1554	575
730	1558	573
731	1563	572
732	1565	570
733	1567	568
734	1569	565
735	1571	563
736	1573	561
737	1576	559
738	1579	557
739	1581	555
740	1582	553
741	1584	550
742	1586	548
743	1588	546
744	1590	544
745	1592	542
746	1594	540
747	1597	538
748	1599	536
749	1601	533
750	1603	531
751	1605	529
752	1607	527
753	1609	525
754	1611	522
755	1613	520
756	1616	518
757	1618	516
758	1620	514
759	1622	512
760	1624	510
761	1626	507
762	1628	505
763	1630	503
764	1632	501
765	1635	499
766	1638	497
767	1641	495
768	1643	493
769	1644	491
770	1646	489
771	1649	487
772	1652	485
773	1655	483
774	1656	481
775	1658	478
776	1660	476
777	1664	474
778	1666	472
779	1669	470
780	1671	468
781	1675	467
782	1678	465
783	1680	463
784	1683	461
785	1685	458
786	1688	457
787	1691	455
788	1694	453
789	1696	450
790	1698	448
791	1701	446
792	1703	444
793	1706	442
794	1709	440
795	1712	438
796	1714	436
797	1717	434
798	1719	432
799	1721	430
800	1723	428
801	1726	426
802	1729	424
803	1732	422
804	1734	420
805	1736	418
806	1738	415
807	1740	413
808	1742	411
809	1745	409
810	1748	407
811	1750	405
812	1752	403
813	1754	400
814	1756	398
815	1758	396
816	1761	394
817	1762	392
818	1765	390
819	1768	388
820	1770	385
821	1772	383
822	1774	381
823	1776	379
824	1777	377
825	1779	374
826	1781	372
827	1784	370
828	1787	368
829	1790	366
830	1792	364
831	1794	362
832	1796	360
833	1798	357
834	1799	355
835	1802	353
836	1805	351
837	1807	349
838	1809	347
839	1811	345
840	1813	342
841	1815	340
842	1817	338
843	1819	336
844	1821	334
845	1824	332
846	1827	330
847	1829	327
848	1832	325
849	1833	323
850	1835	321
851	1837	319
852	1839	317
853	1843	315
854	1846	313
855	1848	310
856	1849	308
857	1851	306
858	1853	304
859	1855	302
860	1857	299
861	1861	297
862	1863	295
863	1865	293
864	1867	291
865	1869	289
866	1871	287
867	1873	284
868	1875	282
869	1876	280
870	1879	278
871	1883	276
872	1885	274
873	1887	272
874	1889	269
875	1891	267
876	1893	265
877	1895	263
878	1898	261
879	1901	259
880	1903	257
881	1905	254
882	1906	252
883	1909	250
884	1911	248
885	1913	246
886	1916	244
887	1918	241
888	1922	239
889	1924	237
890	1926	235
891	1929	233
892	1931	231
893	1933	229
894	1935	227
895	1938	224
896	1940	222
897	1942	220
898	1944	218
899	1946	216
900	1948	214
901	1950	211
902	1951	209
903	1954	207
904	1957	205
905	1959	203
906	1961	201
907	1963	198
908	1965	196
909	1966	194
910	1968	192
911	1971	190
912	1974	188
913	1977	186
914	1979	183
915	1981	181
916	1982	179
917	1984	177
918	1986	175
919	1988	172
920	1990	170
921	1992	168
922	1995	166
923	1998	164
924	2000	162
925	2002	160
926	2004	157
927	2006	155
928	2008	153
929	2009	151
930	2013	149
931	2016	147
932	2019	144
933	2021	142
934	2023	140
935	2024	138
936	2027	136
937	2029	134
938	2032	132
939	2035	129
940	2037	127
941	2039	125
942	2042	123
943	2044	121
944	2045	119
945	2047	116
946	2050	114
947	2052	112
948	2056	110
949	2058	108
950	2060	106
951	2063	104
952	2066	101
953	2069	99
954	2073	97
955	2076	95
956	2078	93
957	2080	91
958	2083	89
959	2086	86
960	2089	84
961	2091	82
962	2093	80
963	2095	78
964	2097	76
965	2099	73
966	2101	71
967	2103	69
968	2105	67
969	2108	65
970	2111	63
971	2114	60
972	2115	58
973	2117	56
974	2119	54
975	2121	52
976	2123	49
977	2126	47
978	2128	45
979	2130	43
980	2132	41
981	2135	39
982	2137	36
983	2138	34
984	2141	32
985	2143	30
986	2146	28
987	2148	26
988	2150	23
989	2153	21
990	2156	19
991	2158	17
992	2160	15
993	2163	13
994	2166	10
995	2169	8
996	2171	6
997	2173	4
998	2175	2
999	2177	0
